alpha [deg],beta [deg],mach [-],CLNr [1/rad]
-2,-2,0.01,706.1483
-1,-2,0.01,430.3254
0,-2,0.01,-95.3273
1,-2,0.01,-568.3068
2,-2,0.01,-792.7392
-2,-2,0.1,705.6963
-1,-2,0.1,429.8455
0,-2,0.1,-95.5662
1,-2,0.1,-568.6089
2,-2,0.1,-793.2811
-2,-2,0.2,704.5926
-1,-2,0.2,428.5612
0,-2,0.2,-96.3599
1,-2,0.2,-569.9033
2,-2,0.2,-795.2308
-2,-2,0.5,697.6965
-1,-2,0.5,420.2487
0,-2,0.5,-102.5715
1,-2,0.5,-579.3417
2,-2,0.5,-811.379
-2,-2,0.75,655.7722
-1,-2,0.75,387.1291
0,-2,0.75,-110.835
1,-2,0.75,-572.274
2,-2,0.75,-809.2734
-2,-2,1,629.9922
-1,-2,1,357.8479
0,-2,1,-136.7535
1,-2,1,-603.3375
2,-2,1,-848.5508
-2,-1,0.01,872.7631
-1,-1,0.01,709.1202
0,-1,0.01,-71.8153
1,-1,0.01,-795.8893
2,-1,0.01,-978.9232
-2,-1,0.1,872.4639
-1,-1,0.1,708.6593
0,-1,0.1,-72.1575
1,-1,0.1,-796.4253
2,-1,0.1,-979.7558
-2,-1,0.2,871.7718
-1,-1,0.2,707.5274
0,-1,0.2,-73.1856
1,-1,0.2,-798.3538
2,-1,0.2,-982.3649
-2,-1,0.5,869.1779
-1,-1,0.5,700.4019
0,-1,0.5,-81.5309
1,-1,0.5,-814.3239
2,-1,0.5,-1006.0008
-2,-1,0.75,829.9176
-1,-1,0.75,658.1855
0,-1,0.75,-95.6104
1,-1,0.75,-812.0136
2,-1,0.75,-1006.8228
-2,-1,1,810.1246
-1,-1,1,632.7142
0,-1,1,-124.4473
1,-1,1,-851.6356
2,-1,1,-1047.4784
-2,0,0.01,-1083.0579
-1,0,0.01,-1086.2279
0,0,0.01,-1087.8031
1,0,0.01,-1086.2278
2,0,0.01,-1083.0581
-2,0,0.1,-1084.0654
-1,0,0.1,-1087.323
0,0,0.1,-1088.9402
1,0,0.1,-1087.3229
2,0,0.1,-1084.0654
-2,0,0.2,-1086.9204
-1,0,0.2,-1090.3737
0,0,0.2,-1092.1104
1,0,0.2,-1090.3735
2,0,0.2,-1086.9204
-2,0,0.5,-1114.4325
-1,0,0.5,-1119.4623
0,0,0.5,-1121.9867
1,0,0.5,-1119.4622
2,0,0.5,-1114.4325
-2,0,0.75,-1116.8313
-1,0,0.75,-1122.0325
0,0,0.75,-1124.4755
1,0,0.75,-1122.0325
2,0,0.75,-1116.8312
-2,0,1,-1157.2061
-1,0,1,-1161.6423
0,0,1,-1163.8575
1,0,1,-1161.6423
2,0,1,-1157.2062
-2,1,0.01,892.1541
-1,1,0.01,709.1202
0,1,0.01,-14.9541
1,1,0.01,-795.8893
2,1,0.01,-959.5323
-2,1,0.1,891.9899
-1,1,0.1,708.6593
0,1,0.1,-15.6086
1,1,0.1,-796.4252
2,1,0.1,-960.2298
-2,1,0.2,891.5386
-1,1,0.2,707.5275
0,1,0.2,-17.6408
1,1,0.2,-798.3538
2,1,0.2,-962.5981
-2,1,0.5,892.0789
-1,1,0.5,700.4019
0,1,0.5,-32.3912
1,1,0.5,-814.3239
2,1,0.5,-983.0995
-2,1,0.75,852.9951
-1,1,0.75,658.1855
0,1,0.75,-58.2177
1,1,0.75,-812.0136
2,1,0.75,-983.7456
-2,1,1,828.5571
-1,1,1,632.7142
0,1,1,-94.4742
1,1,1,-851.6357
2,1,1,-1029.046
-2,2,0.01,706.1484
-1,2,0.01,481.7158
0,2,0.01,8.7363
1,2,0.01,-516.9164
2,2,0.01,-792.7393
-2,2,0.1,705.6964
-1,2,0.1,481.0242
0,2,0.1,7.9813
1,2,0.1,-517.4304
2,2,0.1,-793.2811
-2,2,0.2,704.5928
-1,2,0.2,479.2651
0,2,0.2,5.7217
1,2,0.2,-519.1994
2,2,0.2,-795.2308
-2,2,0.5,697.6965
-1,2,0.5,465.659
0,2,0.5,-11.1111
1,2,0.5,-533.9315
2,2,0.5,-811.3791
-2,2,0.75,655.7723
-1,2,0.75,418.7729
0,2,0.75,-42.6661
1,2,0.75,-540.6302
2,2,0.75,-809.2734
-2,2,1,629.9925
-1,2,1,384.7791
0,2,1,-81.805
1,2,1,-576.4064
2,2,1,-848.5508
