alpha [deg],beta [deg],mach [-],CNq [1/rad]
-2,-2,0.01,-114.0949
-1,-2,0.01,-70.0671
0,-2,0.01,21.5544
1,-2,0.01,113.1759
2,-2,0.01,157.2037
-2,-2,0.1,-114.019
-1,-2,0.1,-69.9916
0,-2,0.1,21.5629
1,-2,0.1,113.1175
2,-2,0.1,157.1448
-2,-2,0.2,-113.8672
-1,-2,0.2,-69.8446
0,-2,0.2,21.5724
1,-2,0.2,112.9894
2,-2,0.2,157.0119
-2,-2,0.5,-112.544
-1,-2,0.5,-68.5372
0,-2,0.5,21.6009
1,-2,0.5,111.7389
2,-2,0.5,155.7457
-2,-2,0.75,-106.7569
-1,-2,0.75,-63.5091
0,-2,0.75,21.6246
1,-2,0.75,106.7583
2,-2,0.75,150.0061
-2,-2,1,-107.9288
-1,-2,1,-62.3926
0,-2,1,24.7831
1,-2,1,111.9589
2,-2,1,157.495
-2,-1,0.01,-148.0795
-1,-1,0.01,-115.7807
0,-1,0.01,20.4945
1,-1,0.01,156.7697
2,-1,0.01,189.0686
-2,-1,0.1,-148.0758
-1,-1,0.1,-115.7498
0,-1,0.1,20.498
1,-1,0.1,156.7457
2,-1,0.1,189.0717
-2,-1,0.2,-148.1151
-1,-1,0.2,-115.7153
0,-1,0.2,20.5018
1,-1,0.2,156.7188
2,-1,0.2,189.1187
-2,-1,0.5,-148.6878
-1,-1,0.5,-115.5273
0,-1,0.5,20.5131
1,-1,0.5,156.5536
2,-1,0.5,189.7141
-2,-1,0.75,-143.9361
-1,-1,0.75,-110.74
0,-1,0.75,20.5226
1,-1,0.75,151.7853
2,-1,0.75,184.9813
-2,-1,1,-146.1453
-1,-1,1,-111.7406
0,-1,1,23.4726
1,-1,1,158.6859
2,-1,1,193.0906
-2,0,0.01,196.2484
-1,0,0.01,201.0259
0,0,0.01,206.3813
1,0,0.01,211.1759
2,0,0.01,214.8244
-2,0,0.1,196.3943
-1,0,0.1,201.1695
0,0,0.1,206.5048
1,0,0.1,211.2642
2,0,0.1,214.879
-2,0,0.2,196.7864
-1,0,0.2,201.556
0,0,0.2,206.8237
1,0,0.2,211.4727
2,0,0.2,215.0118
-2,0,0.5,200.7926
-1,0,0.5,205.4728
0,0,0.5,210.315
1,0,0.5,214.2559
2,0,0.5,217.1402
-2,0,0.75,200.2083
-1,0,0.75,203.8976
0,0,0.75,207.6857
1,0,0.75,210.5987
2,0,0.75,212.4248
-2,0,1,209.0015
-1,0,1,212.0935
0,0,1,215.2348
1,0,1,217.5638
2,0,1,219.0296
-2,1,0.01,-148.0795
-1,1,0.01,-115.7806
0,1,0.01,20.4945
1,1,0.01,156.7697
2,1,0.01,189.0686
-2,1,0.1,-148.0758
-1,1,0.1,-115.7497
0,1,0.1,20.498
1,1,0.1,156.7457
2,1,0.1,189.0717
-2,1,0.2,-148.1151
-1,1,0.2,-115.7153
0,1,0.2,20.5018
1,1,0.2,156.7188
2,1,0.2,189.1187
-2,1,0.5,-148.6878
-1,1,0.5,-115.5273
0,1,0.5,20.5132
1,1,0.5,156.5536
2,1,0.5,189.714
-2,1,0.75,-143.9361
-1,1,0.75,-110.74
0,1,0.75,20.5226
1,1,0.75,151.7852
2,1,0.75,184.9813
-2,1,1,-146.1453
-1,1,1,-111.7406
0,1,1,23.4726
1,1,1,158.6859
2,1,1,193.0906
-2,2,0.01,-114.0949
-1,2,0.01,-70.0671
0,2,0.01,21.5544
1,2,0.01,113.1759
2,2,0.01,157.2037
-2,2,0.1,-114.019
-1,2,0.1,-69.9916
0,2,0.1,21.5629
1,2,0.1,113.1175
2,2,0.1,157.1448
-2,2,0.2,-113.8671
-1,2,0.2,-69.8445
0,2,0.2,21.5724
1,2,0.2,112.9893
2,2,0.2,157.0119
-2,2,0.5,-112.544
-1,2,0.5,-68.5372
0,2,0.5,21.6009
1,2,0.5,111.7389
2,2,0.5,155.7457
-2,2,0.75,-106.7569
-1,2,0.75,-63.5091
0,2,0.75,21.6246
1,2,0.75,106.7583
2,2,0.75,150.006
-2,2,1,-107.9288
-1,2,1,-62.3926
0,2,1,24.7831
1,2,1,111.9589
2,2,1,157.495
