alpha,beta,mach,Cmr [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,749.4438
-0.03490658503988659,-0.017453292519943295,0.01,525.0112
-0.03490658503988659,0.0,0.01,52.0319
-0.03490658503988659,0.017453292519943295,0.01,-473.6211
-0.03490658503988659,0.03490658503988659,0.01,-749.4438
-0.017453292519943295,-0.03490658503988659,0.01,935.5387
-0.017453292519943295,-0.017453292519943295,0.01,752.5048
-0.017453292519943295,0.0,0.01,28.4307
-0.017453292519943295,0.017453292519943295,0.01,-752.5048
-0.017453292519943295,0.03490658503988659,0.01,-916.1478
0.0,-0.03490658503988659,0.01,1039.625
0.0,-0.017453292519943295,0.01,1042.795
0.0,0.0,0.01,0.0
0.0,0.017453292519943295,0.01,-1042.7948
0.0,0.03490658503988659,0.01,-1039.625
0.017453292519943295,-0.03490658503988659,0.01,916.1477
0.017453292519943295,-0.017453292519943295,0.01,752.5048
0.017453292519943295,0.0,0.01,-28.4305
0.017453292519943295,0.017453292519943295,0.01,-752.5048
0.017453292519943295,0.03490658503988659,0.01,-935.5387
0.03490658503988659,-0.03490658503988659,0.01,749.4438
0.03490658503988659,-0.017453292519943295,0.01,473.621
0.03490658503988659,0.0,0.01,-52.0317
0.03490658503988659,0.017453292519943295,0.01,-525.0112
0.03490658503988659,0.03490658503988659,0.01,-749.4437
-0.03490658503988659,-0.03490658503988659,0.1,749.4887
-0.03490658503988659,-0.017453292519943295,0.1,524.8167
-0.03490658503988659,0.0,0.1,51.7739
-0.03490658503988659,0.017453292519943295,0.1,-473.6382
-0.03490658503988659,0.03490658503988659,0.1,-749.4888
-0.017453292519943295,-0.03490658503988659,0.1,935.8729
-0.017453292519943295,-0.017453292519943295,0.1,752.5423
-0.017453292519943295,0.0,0.1,28.2745
-0.017453292519943295,0.017453292519943295,0.1,-752.5422
-0.017453292519943295,0.03490658503988659,0.1,-916.3469
0.0,-0.03490658503988659,0.1,1040.1334
0.0,-0.017453292519943295,0.1,1043.3909
0.0,0.0,0.1,0.0001
0.0,0.017453292519943295,0.1,-1043.3906
0.0,0.03490658503988659,0.1,-1040.1333
0.017453292519943295,-0.03490658503988659,0.1,916.3469
0.017453292519943295,-0.017453292519943295,0.1,752.5422
0.017453292519943295,0.0,0.1,-28.2744
0.017453292519943295,0.017453292519943295,0.1,-752.5422
0.017453292519943295,0.03490658503988659,0.1,-935.873
0.03490658503988659,-0.03490658503988659,0.1,749.4886
0.03490658503988659,-0.017453292519943295,0.1,473.638
0.03490658503988659,0.0,0.1,-51.7737
0.03490658503988659,0.017453292519943295,0.1,-524.8167
0.03490658503988659,0.03490658503988659,0.1,-749.4887
-0.03490658503988659,-0.03490658503988659,0.2,749.9117
-0.03490658503988659,-0.017453292519943295,0.2,524.5842
-0.03490658503988659,0.0,0.2,51.0409
-0.03490658503988659,0.017453292519943295,0.2,-473.8806
-0.03490658503988659,0.03490658503988659,0.2,-749.9118
-0.017453292519943295,-0.03490658503988659,0.2,936.9518
-0.017453292519943295,-0.017453292519943295,0.2,752.9407
-0.017453292519943295,0.0,0.2,27.7725
-0.017453292519943295,0.017453292519943295,0.2,-752.9407
-0.017453292519943295,0.03490658503988659,0.2,-917.185
0.0,-0.03490658503988659,0.2,1041.4563
0.0,-0.017453292519943295,0.2,1044.9094
0.0,0.0,0.2,0.0
0.0,0.017453292519943295,0.2,-1044.9093
0.0,0.03490658503988659,0.2,-1041.4562
0.017453292519943295,-0.03490658503988659,0.2,917.185
0.017453292519943295,-0.017453292519943295,0.2,752.9406
0.017453292519943295,0.0,0.2,-27.7723
0.017453292519943295,0.017453292519943295,0.2,-752.9406
0.017453292519943295,0.03490658503988659,0.2,-936.9517
0.03490658503988659,-0.03490658503988659,0.2,749.9118
0.03490658503988659,-0.017453292519943295,0.2,473.8805
0.03490658503988659,0.0,0.2,-51.0406
0.03490658503988659,0.017453292519943295,0.2,-524.5842
0.03490658503988659,0.03490658503988659,0.2,-749.9117
-0.03490658503988659,-0.03490658503988659,0.5,754.5378
-0.03490658503988659,-0.017453292519943295,0.5,522.5003
-0.03490658503988659,0.0,0.5,45.7302
-0.03490658503988659,0.017453292519943295,0.5,-477.0903
-0.03490658503988659,0.03490658503988659,0.5,-754.5378
-0.017453292519943295,-0.03490658503988659,0.5,949.0399
-0.017453292519943295,-0.017453292519943295,0.5,757.3629
-0.017453292519943295,0.0,0.5,24.5698
-0.017453292519943295,0.017453292519943295,0.5,-757.3629
-0.017453292519943295,0.03490658503988659,0.5,-926.1386
0.0,-0.03490658503988659,0.5,1057.4069
0.0,-0.017453292519943295,0.5,1062.4368
0.0,0.0,0.5,0.0
0.0,0.017453292519943295,0.5,-1062.4365
0.0,0.03490658503988659,0.5,-1057.4069
0.017453292519943295,-0.03490658503988659,0.5,926.1388
0.017453292519943295,-0.017453292519943295,0.5,757.3629
0.017453292519943295,0.0,0.5,-24.5698
0.017453292519943295,0.017453292519943295,0.5,-757.3627
0.017453292519943295,0.03490658503988659,0.5,-949.0399
0.03490658503988659,-0.03490658503988659,0.5,754.5378
0.03490658503988659,-0.017453292519943295,0.5,477.0902
0.03490658503988659,0.0,0.5,-45.7302
0.03490658503988659,0.017453292519943295,0.5,-522.5003
0.03490658503988659,0.03490658503988659,0.5,-754.5377
-0.03490658503988659,-0.03490658503988659,0.75,732.5229
-0.03490658503988659,-0.017453292519943295,0.75,495.5235
-0.03490658503988659,0.0,0.75,34.0845
-0.03490658503988659,0.017453292519943295,0.75,-463.8798
-0.03490658503988659,0.03490658503988659,0.75,-732.5229
-0.017453292519943295,-0.03490658503988659,0.75,929.9089
-0.017453292519943295,-0.017453292519943295,0.75,735.0997
-0.017453292519943295,0.0,0.75,18.6964
-0.017453292519943295,0.017453292519943295,0.75,-735.0995
-0.017453292519943295,0.03490658503988659,0.75,-906.8317
0.0,-0.03490658503988659,0.75,1039.8292
0.0,-0.017453292519943295,0.75,1045.0305
0.0,0.0,0.75,0.0
0.0,0.017453292519943295,0.75,-1045.0304
0.0,0.03490658503988659,0.75,-1039.8292
0.017453292519943295,-0.03490658503988659,0.75,906.8317
0.017453292519943295,-0.017453292519943295,0.75,735.0995
0.017453292519943295,0.0,0.75,-18.6963
0.017453292519943295,0.017453292519943295,0.75,-735.0995
0.017453292519943295,0.03490658503988659,0.75,-929.9091
0.03490658503988659,-0.03490658503988659,0.75,732.5228
0.03490658503988659,-0.017453292519943295,0.75,463.8797
0.03490658503988659,0.0,0.75,-34.0843
0.03490658503988659,0.017453292519943295,0.75,-495.5234
0.03490658503988659,0.03490658503988659,0.75,-732.5227
-0.03490658503988659,-0.03490658503988659,1,739.2717
-0.03490658503988659,-0.017453292519943295,1,494.0583
-0.03490658503988659,0.0,1,27.4744
-0.03490658503988659,0.017453292519943295,1,-467.1273
-0.03490658503988659,0.03490658503988659,1,-739.2717
-0.017453292519943295,-0.03490658503988659,1,938.0178
-0.017453292519943295,-0.017453292519943295,1,742.1749
-0.017453292519943295,0.0,1,14.9867
-0.017453292519943295,0.017453292519943295,1,-742.175
-0.017453292519943295,0.03490658503988659,1,-919.5855
0.0,-0.03490658503988659,1,1047.6478
0.0,-0.017453292519943295,1,1052.0841
0.0,0.0,1,0.0001
0.0,0.017453292519943295,1,-1052.084
0.0,0.03490658503988659,1,-1047.6477
0.017453292519943295,-0.03490658503988659,1,919.5855
0.017453292519943295,-0.017453292519943295,1,742.175
0.017453292519943295,0.0,1,-14.9865
0.017453292519943295,0.017453292519943295,1,-742.1749
0.017453292519943295,0.03490658503988659,1,-938.0178
0.03490658503988659,-0.03490658503988659,1,739.2715
0.03490658503988659,-0.017453292519943295,1,467.1273
0.03490658503988659,0.0,1,-27.4742
0.03490658503988659,0.017453292519943295,1,-494.0583
0.03490658503988659,0.03490658503988659,1,-739.2715
